"CUSTOMER_NO","CUSTOMER_NAME","ORDER_NO","LINE_NO","REL_NO","LINE_STATE","AGREEMENT_ID","CATALOG_NO","CATALOG_DESC","CONDITION_CODE","IFSAPP.CONDITION_CODE_API.GET_DESCRIPTION(CONDITION_CODE)","CONTRACT","BUY_QTY_DUE","IFSAPP.SALES_PART_API.GET_SALES_UNIT_MEAS(L.CONTRACT,L.CATALOG_NO)","(L.BUY_QTY_DUE+(L.QTY_SHIPDIFF/DECODE(L.CONV_FACTOR,0,1,L.CONV_FACTOR*L.INVERTED_CONV_FACTOR))-L.QTY_INVOICED)*L.PRICE_CONV_FACT","IFSAPP.SALES_PART_API.GET_PRICE_UNIT_MEAS(L.CONTRACT,L.CATALOG_NO)","NVL(L.BASE_SALE_UNIT_PRICE,0)*((100-NVL(L.DISCOUNT,0))/100)*((100-NVL(L.ORDER_DISCOUNT,0))/100)*((100-NVL(L.ADDITIONAL_DISCOUNT,","PLANNED_DELIVERY_DATE","IFSAPP.CUSTOMER_ORDER_LINE_API.GET_BACKLOG_VALUE_BASE_CURR__(ORDER_NO,LINE_NO,REL_NO,LINE_ITEM_NO)","IFSAPP.COMPANY_FINANCE_API.GET_CURRENCY_CODE(IFSAPP.SITE_API.GET_COMPANY(L.CONTRACT))","IFSAPP.CUST_ORD_CUSTOMER_API.GET_CUST_GRP(L.CUSTOMER_NO)","IFSAPP.SALES_PART_API.GET_CATALOG_GROUP(L.CONTRACT,L.CATALOG_NO)","REGION_CODE","DISTRICT_CODE","MARKET_CODE","DECODE(L.DEFAULT_ADDR_FLAG_DB,'N',DECODE(L.ADDR_FLAG_DB,'Y',IFSAPP.CUST_ORDER_LINE_ADDRESS_API.GET_COUNTRY_CODE(L.ORDER_NO,L.LIN","SALESMAN_CODE","AUTHORIZE_CODE","PRICE_LIST_NO","PRIORITY","LINE_ITEM_NO"
"HEAIN","HEART INDUSTRIES LTD","E5172","1","1","Reserved","","PC1021","MLPT10 - CANADA TRUE MAPLE BLACK TEA 10 PYRAMID BAGS PAPER CANISTER (12X10X2G)","","","GSTEA","125","MCN","1500","PKS","330","7/24/2026","495000","LKR","EXPORT","TCAN","","","","CA","","DILFEGSTS","","","0"
"ADEMA","ADEMAC MARKETING","E5138","1","1","Reserved","","PT1144","ADEMAC - MUSE CAFE 17119 LEMON GINGER CAFFEINE FREE 100 PYRAMID TB IN STANDUP BAG (10X100X2G)","","","GSTEA","2","MCN","20","PKS","2355.0318","7/8/2026","47100.64","LKR","EXPORT","TNOB","","","","SG","","DILFEGSTS","","","0"
"ADEMA","ADEMAC MARKETING","E5138","2","1","Reserved","","PT1178","ADEMAC - MUSE CAFE ENGLISH BREAKFAST LEAFY 100 PYRAMID TB IN STANDUP BAG (10X100X2.5G)","","","GSTEA","1","MCN","10","PKS","2125.2726","7/8/2026","21252.73","LKR","EXPORT","TNOB","","","","SG","","DILFEGSTS","","","0"
"ADEMA","ADEMAC MARKETING","E5138","3","1","Reserved","","PT1149","ADEMAC - MUSE CAFE 17124 CALMING HERBAL CAFFEINE FREE 100 PYRAMID TB IN STANDUP BAG (10X100X2G)","","","GSTEA","1","MCN","10","PKS","3478.299","7/8/2026","34782.99","LKR","EXPORT","TNOB","","","","SG","","DILFEGSTS","","","0"
"ADEMA","ADEMAC MARKETING","E5138","4","1","Reserved","","PT1145","ADEMAC - MUSE CAFE 17120 ROSE CHAMOMILE CAFFEINE FREE 100 PYRAMID TB IN STANDUP BAG (10X100X2G)","","","GSTEA","2","MCN","20","PKS","4173.9588","7/8/2026","83479.18","LKR","EXPORT","TNOB","","","","SG","","DILFEGSTS","","","0"
"ADEMA","ADEMAC MARKETING","E5138","5","1","Reserved","","PT1179","ADEMAC - MUSE CAFE EARL GREY CORN FLOWER LEAFY 100 PYRAMID TB IN STANDUP BAG (10X100X2.5G)","","","GSTEA","1","MCN","10","PKS","2166.7569","7/8/2026","21667.57","LKR","EXPORT","TNOB","","","","SG","","DILFEGSTS","","","0"
"DIS002","The West Central Pharma (Pvt) Ltd.","C240259","1","1","Reserved","","TIL02","Bifilac Granules (sachets) (15's)","","","GSH1N","400","PACKS","400","PACKS","1936.78","7/30/2026","774712","LKR","DISTRI","TIL HEALTH","","","DISTRI","LK","","GEMABE050","","","0"
"DIS002","The West Central Pharma (Pvt) Ltd.","C240259","2","1","Reserved","","TIL14","AMINOPLUS Syrup 200ml (1's)","","","GSH1N","50","BOT","50","BOT","1202.07","7/30/2026","60103.5","LKR","DISTRI","TIL HEALTH","","","DISTRI","LK","","GEMABE050","","","0"
"DIS002","The West Central Pharma (Pvt) Ltd.","C240006","1","2","Reserved","","PUN143","Metrogyl Denta Gel 20gm","","","GSH1N","600","TUB","600","TUB","377.01","7/28/2026","226206","LKR","DISTRI","ARR U (B)","","","DISTRI","LK","","GEMABE050","","","0"
"SUNDRY DEBTORS","Sundry Debtors","C238958","1","1","Reserved","","UBPL24-F","Egybort Inj 2mg-(FG)","","","GSH1N","3","VLS","3","VLS","0","7/13/2026","0","LKR","SUNDRY","UNITED BIO","","","SUNDRY","LK","","GEMABE050","","","0"
"SUNDRY","SUNDRY","A4878","1","1","Reserved","","HET006-F","BEVAAS 100MG - (FG)","","","GSHD","1","VLS","1","VLS","0","7/13/2026","0","LKR","SUNDRY","HETERO","","","","LK","","INDBAN","","","0"
"DIS007","Heliya Enterprises","C240260","1","1","Reserved","","TIL02","Bifilac Granules (sachets) (15's)","","","GSH1N","100","PACKS","100","PACKS","1936.78","7/30/2026","193678","LKR","DISTRI","TIL HEALTH","","","DISTRI","LK","","GEMABE050","","","0"
"DIS007","Heliya Enterprises","C240260","2","1","Reserved","","TIL05","Bifilac Cap's (10's)","","","GSH1N","200","PACKS","200","PACKS","1075.94","7/30/2026","215188","LKR","DISTRI","TIL HEALTH","","","DISTRI","LK","","GEMABE050","","","0"
"DIS003","Dharshana Distributors","C240267","1","1","Reserved","","TIL02","Bifilac Granules (sachets) (15's)","","","GSH1N","300","PACKS","300","PACKS","1936.78","7/30/2026","581034","LKR","DISTRI","TIL HEALTH","","","DISTRI","LK","","GEMABE050","","","0"
"DIS003","Dharshana Distributors","C240267","2","1","Reserved","","TIL09","PEGLEC Powder 137.15g (Oral) (2's)","","","GSH1N","50","PACKS","50","PACKS","3143.33","7/30/2026","157166.5","LKR","DISTRI","TIL HEALTH","","","DISTRI","LK","","GEMABE050","","","0"
"DIS003","Dharshana Distributors","C240267","3","1","Reserved","","TIL14","AMINOPLUS Syrup 200ml (1's)","","","GSH1N","50","BOT","50","BOT","1202.07","7/30/2026","60103.5","LKR","DISTRI","TIL HEALTH","","","DISTRI","LK","","GEMABE050","","","0"
"PVO204","Ransilu Product & Distributors","C240278","1","1","Reserved","","FRE03","Freossi Snacky Biscuits (Mutton Flavour) 100g","","","GSH1N","100","PACKS","100","PACKS","178.8","7/30/2026","17880","LKR","PVT ORG","VET F","","","PVT ORG","LK","","GEMABE050","","","0"
"PVO204","Ransilu Product & Distributors","C240278","2","1","Reserved","","FRE03-F","Freossi Snacky Biscuits (Mutton Flavour) 100g (FG)","","","GSH1N","10","PACKS","10","PACKS","0","7/30/2026","0","LKR","PVT ORG","VET F","","","PVT ORG","LK","","GEMABE050","","","0"
"PVO204","Ransilu Product & Distributors","C240278","3","1","Reserved","","FRE06","Freossi Snacky Biscuits (Mutton Flavour) 500g","","","GSH1N","20","PACKS","20","PACKS","814.69","7/30/2026","16293.8","LKR","PVT ORG","VET F","","","PVT ORG","LK","","GEMABE050","","","0"
"PVO204","Ransilu Product & Distributors","C240278","4","1","Reserved","","FRE06-F","Freossi Snacky Biscuits (Mutton Flavour) 500g (FG)","","","GSH1N","2","PACKS","2","PACKS","0","7/30/2026","0","LKR","PVT ORG","VET F","","","PVT ORG","LK","","GEMABE050","","","0"
"PVO204","Ransilu Product & Distributors","C240278","5","1","Reserved","","FRE02","Freossi Snacky Biscuits (Chicken Flavour) 100g","","","GSH1N","100","PACKS","100","PACKS","178.8","7/30/2026","17880","LKR","PVT ORG","VET F","","","PVT ORG","LK","","GEMABE050","","","0"
"PVO204","Ransilu Product & Distributors","C240278","6","1","Reserved","","FRE02-F","Freossi Snacky Biscuits (Chicken Flavour) 100g (FG)","","","GSH1N","10","PACKS","10","PACKS","0","7/30/2026","0","LKR","PVT ORG","VET F","","","PVT ORG","LK","","GEMABE050","","","0"
"PVO204","Ransilu Product & Distributors","C240278","7","1","Reserved","","FRE05","Freossi Snacky Biscuits (Chicken Flavour) 500g","","","GSH1N","20","PACKS","20","PACKS","814.69","7/30/2026","16293.8","LKR","PVT ORG","VET F","","","PVT ORG","LK","","GEMABE050","","","0"
"PVO204","Ransilu Product & Distributors","C240278","8","1","Reserved","","FRE05-F","Freossi Snacky Biscuits (Chicken Flavour) 500g (FG)","","","GSH1N","2","PACKS","2","PACKS","0","7/30/2026","0","LKR","PVT ORG","VET F","","","PVT ORG","LK","","GEMABE050","","","0"
"PVO204","Ransilu Product & Distributors","C240278","9","1","Reserved","","FRE11","Freossi Frelucon Cream 20g","","","GSH1N","100","TUB","100","TUB","577.75","7/30/2026","57775","LKR","PVT ORG","VET F","","","PVT ORG","LK","","GEMABE050","","","0"
"PVO204","Ransilu Product & Distributors","C240278","10","1","Reserved","","FRE11-F","Freossi Frelucon Cream 20g (FG)","","","GSH1N","10","TUB","10","TUB","0","7/30/2026","0","LKR","PVT ORG","VET F","","","PVT ORG","LK","","GEMABE050","","","0"
"PVO204","Ransilu Product & Distributors","C240278","11","1","Reserved","","FRE16","Freossi HBrise Syrup 200ml (1's)","","","GSH1N","90","BOT","90","BOT","370.898","7/30/2026","33380.82","LKR","PVT ORG","VET F","","","PVT ORG","LK","","GEMABE050","","","0"
"PVO204","Ransilu Product & Distributors","C240278","11","2","Reserved","","FRE16","Freossi HBrise Syrup 200ml (1's)","","","GSH1N","9","BOT","9","BOT","0","7/30/2026","0","LKR","PVT ORG","VET F","","","PVT ORG","LK","","GEMABE050","","","0"
"PVO204","Ransilu Product & Distributors","C240278","12","1","Reserved","","FRE17","Freossi Freprimecal Tab's (30's)","","","GSH1N","20","PACKS","20","PACKS","923.9","7/30/2026","18478","LKR","PVT ORG","VET F","","","PVT ORG","LK","","GEMABE050","","","0"
"PVO204","Ransilu Product & Distributors","C240278","13","1","Reserved","","FRE17-F","Freossi Freprimecal Tab's (30's) (FG)","","","GSH1N","2","PACKS","2","PACKS","0","7/30/2026","0","LKR","PVT ORG","VET F","","","PVT ORG","LK","","GEMABE050","","","0"
"PVO204","Ransilu Product & Distributors","C240278","14","1","Reserved","","FRE15","Freossi Freleup Syrup 100ml (1's)","","","GSH1N","60","BOT","60","BOT","519.94","7/30/2026","31196.4","LKR","PVT ORG","VET F","","","PVT ORG","LK","","GEMABE050","","","0"
"PVO204","Ransilu Product & Distributors","C240278","14","2","Reserved","","FRE15","Freossi Freleup Syrup 100ml (1's)","","","GSH1N","6","BOT","6","BOT","0","7/30/2026","0","LKR","PVT ORG","VET F","","","PVT ORG","LK","","GEMABE050","","","0"
"PVO204","Ransilu Product & Distributors","C240278","15","1","Reserved","","RC2123DD","Rapid E.Canis Ab/Anaplasma Ab Test Kit (10T/K)","","","GSH1N","5","PACKS","5","PACKS","24742.02","7/30/2026","123710.1","LKR","PVT ORG","BIONOTE","","","PVT ORG","LK","","GEMABE050","","","0"
"PHA415","Central Hospital LTD","C240282","1","1","Reserved","","TIL05","Bifilac Cap's (10's)","","","GSH1N","20","PACKS","20","PACKS","1162.021","7/30/2026","23240.42","LKR","PVTHOS","TIL HEALTH","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","2","1","Reserved","","PUL116","Solmux Caps 500mg 100's","","","GSH1N","5","PACKS","5","PACKS","10184.6","7/30/2026","50923","LKR","PVTHOS","UL SALE","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","3","1","Reserved","","PBL133","Fludan Caps 5mg 100's","","","GSH1N","7","PACKS","7","PACKS","7676.9","7/30/2026","53738.3","LKR","PVTHOS","BL SALE","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","4","1","Reserved","","PUN111","Metrogyl Tab 200mg 100's","","","GSH1N","6","PACKS","6","PACKS","1029.1","7/30/2026","6174.6","LKR","PVTHOS","ARR U (B)","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","5","1","Reserved","","PUN112","Metrogyl Tab 400mg 100's","","","GSH1N","6","PACKS","6","PACKS","1905.1","7/30/2026","11430.6","LKR","PVTHOS","ARR U (B)","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","6","1","Reserved","","PUN109","Nicardia Retard 10mg 100's","","","GSH1N","2","PACKS","2","PACKS","1217.9","7/30/2026","2435.8","LKR","PVTHOS","ARR U (B)","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","7","1","Reserved","","PUN136","Myotan 25mg 100's","","","GSH1N","1","PACKS","1","PACKS","1267.8","7/30/2026","1267.8","LKR","PVTHOS","ARRA2U","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","8","1","Reserved","","PUN135","Myotan 50mg 100's","","","GSH1N","3","PACKS","3","PACKS","1777.3","7/30/2026","5331.9","LKR","PVTHOS","ARRA2U","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","9","1","Reserved","","PUN145","Vasolip 20mg Tab.100's","","","GSH1N","3","PACKS","3","PACKS","3038.2","7/30/2026","9114.6","LKR","PVTHOS","ARR U (A)","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","10","1","Reserved","","PUN174","Panum 40mg Tab's (100's)","","","GSH1N","10","PACKS","10","PACKS","3104.35","7/30/2026","31043.5","LKR","PVTHOS","ARR U (B)","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","11","1","Reserved","","PUN206","Nebilol Tab's 5mg 100's","","","GSH1N","1","PACKS","1","PACKS","6488.9","7/30/2026","6488.9","LKR","PVTHOS","ARR U (B)","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","12","1","Reserved","","PUN104","Dicloran SR-75mg 100's","","","GSH1N","1","PACKS","1","PACKS","3916.2","7/30/2026","3916.2","LKR","PVTHOS","ARR U (A)","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","13","1","Reserved","","PUN110","Nicardia-XL-30mg 30's","","","GSH1N","10","PACKS","10","PACKS","1369.05","7/30/2026","13690.5","LKR","PVTHOS","ARRB2U","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","14","1","Reserved","","SWISS01","Folee-1 (FOLIC ACID Tab BP 1mg) (30's)","","","GSH1N","100","PACKS","100","PACKS","149.6","7/30/2026","14960","LKR","PVTHOS","UL-SWISS","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","15","1","Reserved","","PBL141","Belcid Suspension 240ml","","","GSH1N","30","BOT","30","BOT","423.08","7/30/2026","12692.4","LKR","PVTHOS","BL SALE","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","16","1","Reserved","","PUL104","Solmux P. Susp 60ml","","","GSH1N","30","BOT","30","BOT","1094.9","7/30/2026","32847","LKR","PVTHOS","UL SALE","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","17","1","Reserved","","TIL14","AMINOPLUS Syrup 200ml (1's)","","","GSH1N","3","BOT","3","BOT","1298.23","7/30/2026","3894.69","LKR","PVTHOS","TIL HEALTH","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","18","1","Reserved","","CFL120","Efatop PE Cream 60gm","","","GSH1N","2","TUB","2","TUB","976.8","7/30/2026","1953.6","LKR","PVTHOS","ADCOCK","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","19","1","Reserved","","TIL09","PEGLEC Powder 137.15g (Oral) (2's)","","","GSH1N","15","PACKS","15","PACKS","3394.8","7/30/2026","50922","LKR","PVTHOS","TIL HEALTH","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","20","1","Reserved","","UBPL63","Tazin 4.5 mg Inj","","","GSH1N","80","VLS","80","VLS","3115.65","7/30/2026","249252","LKR","PVTHOS","UNITED BIO","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","21","1","Reserved","","PUN172","Pamidol 370 100ml","","","GSH1N","100","BOT","100","BOT","8146.68","7/30/2026","814668","LKR","PVTHOS","ARR U (B)","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","22","1","Reserved","","PUN128","Dicloran Gel 20gm","","","GSH1N","30","TUB","30","TUB","393.16","7/30/2026","11794.8","LKR","PVTHOS","ARR U (A)","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","23","1","Reserved","","PUN130","Metrogyl Gel 30g","","","GSH1N","40","TUB","40","TUB","555.99","7/30/2026","22239.6","LKR","PVTHOS","ARR U (B)","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","24","1","Reserved","","MEN01","Fastum Gel 2.5% 30g","","","GSH1N","20","TUB","20","TUB","794.2","7/30/2026","15884","LKR","PVTHOS","MEN - SALE","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","25","1","Reserved","","CFL110","Pernex Ac 2.5 PCT Gel 20gm","","","GSH1N","1","TUB","1","TUB","953.8","7/30/2026","953.8","LKR","PVTHOS","ADCOCK","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","26","1","Reserved","","LP-P-30-YNP20","Inflation Devices Kit (LP-P-30-YNP20)","","","GSH1N","20","ITEM","20","ITEM","19749.995","7/30/2026","394999.9","LKR","PVTHOS","LEPU","","","PVT HOS","LK","","GEMABE050","","","0"
"PHA415","Central Hospital LTD","C240282","27","1","Reserved","","PIC002","Thermoseal R.A. 50gm","","","GSH1N","2","TUB","2","TUB","554.116","7/30/2026","1108.23","LKR","PVTHOS","ICPA - SAL","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","28","1","Reserved","","CFL108","Cosvate Cream 15gm","","","GSH1N","3","TUB","3","TUB","551.53","7/30/2026","1654.59","LKR","PVTHOS","ADCOCK","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","29","1","Reserved","","PIC010","Hexigel 15gm","","","GSH1N","2","TUB","2","TUB","319.63","7/30/2026","639.26","LKR","PVTHOS","ICPA - SAL","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","30","1","Reserved","","TIL03","COBA-1000 Inj. 10ml (1's)","","","GSH1N","30","VLS","30","VLS","188","7/30/2026","5640","LKR","PVTHOS","TIL HEALTH","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","31","1","Reserved","","CFL137","Cosmelite Cream 15gm","","","GSH1N","4","TUB","4","TUB","3794.9","7/30/2026","15179.6","LKR","PVTHOS","ADCOCK","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","32","1","Reserved","","ALP002","BIOBALANCE  BODY WHITENING CREAM,60 ML","","","GSH1N","1","PCS","1","PCS","4797.673","7/30/2026","4797.67","LKR","PVTHOS","ALP","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","33","1","Reserved","","CFL107","Futop Cream 5gm","","","GSH1N","3","TUB","3","TUB","723.9","7/30/2026","2171.7","LKR","PVTHOS","ADCOCK","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","34","1","Reserved","","CFL130","Futop B Cream 10gm","","","GSH1N","3","TUB","3","TUB","1012.8","7/30/2026","3038.4","LKR","PVTHOS","ADCOCK","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"COD013","Nirosh Perera","C240231","1","1","Reserved","","PUL138","Font Active Complete Vanilla Powder 400g","","","GSH1N","2","CAN","2","CAN","4445.84","7/30/2026","8891.68","LKR","CASH","UL SALE","","","CASH","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","35","1","Reserved","","PNQ030","Clomitab Tab 50mg 10's","","","GSH1N","6","PACKS","6","PACKS","593.81","7/30/2026","3562.86","LKR","PVTHOS","NABIQASIM","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","36","1","Reserved","","TIL02","Bifilac Granules (sachets) (15's)","","","GSH1N","10","PACKS","10","PACKS","2091.731","7/30/2026","20917.31","LKR","PVTHOS","TIL HEALTH","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","37","1","Reserved","","PBL154","Caltamin Plus Tabs-60's","","","GSH1N","1","PACKS","1","PACKS","3306.84","7/30/2026","3306.84","LKR","PVTHOS","BL SALE","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","38","1","Reserved","","PBL153","Caltamin D Tabs-60's","","","GSH1N","1","PACKS","1","PACKS","3094.66","7/30/2026","3094.66","LKR","PVTHOS","BL SALE","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","39","1","Reserved","","PUL105","Solmux Forte Susp. 60ml","","","GSH1N","20","BOT","20","BOT","1253","7/30/2026","25060","LKR","PVTHOS","UL SALE","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","40","1","Reserved","","PUN216","Cilacar Tab's 10mg (30's)","","","GSH1N","40","PACKS","40","PACKS","1589.74","7/30/2026","63589.6","LKR","PVTHOS","ARR U (A)","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","41","1","Reserved","","PUN215","Cilacar Tab's 5mg (30's)","","","GSH1N","50","PACKS","50","PACKS","1226.5","7/30/2026","61325","LKR","PVTHOS","ARR U (A)","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","42","1","Reserved","","PUL101","Enervon-C Film Cap 30's","","","GSH1N","2","BOT","2","BOT","1975","7/30/2026","3950","LKR","PVTHOS","UL SALE","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","43","1","Reserved","","ALP012","ACNEVIT ANTI ACNE SERUM, 30 ML","","","GSH1N","1","PCS","1","PCS","3737.269","7/30/2026","3737.27","LKR","PVTHOS","ALP","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"GVI017","State Pharmaceuticals Corporation","C240236","1","1","Reserved","","PUL101","Enervon-C Film Cap 30's","","","GSH1N","6","BOT","6","BOT","1974.9965","7/30/2026","11849.98","LKR","GOVINS","UL SALE","","","GVT INS","LK","","GEMABE050","SPC1","","0"
