"CUSTOMER_NO","CUSTOMER_NAME","ORDER_NO","LINE_NO","REL_NO","LINE_STATE","AGREEMENT_ID","CATALOG_NO","CATALOG_DESC","CONDITION_CODE","IFSAPP.CONDITION_CODE_API.GET_DESCRIPTION(CONDITION_CODE)","CONTRACT","BUY_QTY_DUE","IFSAPP.SALES_PART_API.GET_SALES_UNIT_MEAS(L.CONTRACT,L.CATALOG_NO)","(L.BUY_QTY_DUE+(L.QTY_SHIPDIFF/DECODE(L.CONV_FACTOR,0,1,L.CONV_FACTOR*L.INVERTED_CONV_FACTOR))-L.QTY_INVOICED)*L.PRICE_CONV_FACT","IFSAPP.SALES_PART_API.GET_PRICE_UNIT_MEAS(L.CONTRACT,L.CATALOG_NO)","NVL(L.BASE_SALE_UNIT_PRICE,0)*((100-NVL(L.DISCOUNT,0))/100)*((100-NVL(L.ORDER_DISCOUNT,0))/100)*((100-NVL(L.ADDITIONAL_DISCOUNT,","PLANNED_DELIVERY_DATE","IFSAPP.CUSTOMER_ORDER_LINE_API.GET_BACKLOG_VALUE_BASE_CURR__(ORDER_NO,LINE_NO,REL_NO,LINE_ITEM_NO)","IFSAPP.COMPANY_FINANCE_API.GET_CURRENCY_CODE(IFSAPP.SITE_API.GET_COMPANY(L.CONTRACT))","IFSAPP.CUST_ORD_CUSTOMER_API.GET_CUST_GRP(L.CUSTOMER_NO)","IFSAPP.SALES_PART_API.GET_CATALOG_GROUP(L.CONTRACT,L.CATALOG_NO)","REGION_CODE","DISTRICT_CODE","MARKET_CODE","DECODE(L.DEFAULT_ADDR_FLAG_DB,'N',DECODE(L.ADDR_FLAG_DB,'Y',IFSAPP.CUST_ORDER_LINE_ADDRESS_API.GET_COUNTRY_CODE(L.ORDER_NO,L.LIN","SALESMAN_CODE","AUTHORIZE_CODE","PRICE_LIST_NO","PRIORITY","LINE_ITEM_NO"
"PVH047","The Lanka Hospital Corporation Plc","C240290","1","1","Reserved","","C0068557N1","NOVOSYN VIOLET 1 (4) 90CM HR40S (M) DDP","","","GSH1N","12","PCS","12","PCS","2076.938","7/30/2026","24923.26","LKR","PVTHOS","NBQ-BBSL","","","","LK","","GEMABE050","","","0"
"PVH047","The Lanka Hospital Corporation Plc","C240290","2","1","Reserved","","B0930628","DAFILON BLUE 1 (4) 100CM HR30","","","GSH1N","28","PCS","28","PCS","1803.657","7/30/2026","50502.4","LKR","PVTHOS","NBQ-BBSL","","","","LK","","GEMABE050","","","0"
"PVH069","Kings Hospital Colombo (Pvt) Ltd.","C240292","1","1","Reserved","","C0263850","SILKAM BLACK 3/0 (2) 13X60CM         DDP","","","GSH1N","24","PCS","24","PCS","1475.719","7/30/2026","35417.26","LKR","PVTHOS","NBQ-BBSL","","","","LK","","GEMABE050","INST NEW","","0"
"PVH069","Kings Hospital Colombo (Pvt) Ltd.","C240293","1","1","Reserved","","B1095676","SURG LOOP COTON BLUE 8MM 75CM ADCE","","","GSH1N","14","PCS","14","PCS","2186.25","7/30/2026","30607.5","LKR","PVTHOS","NBQ-BBSL","","","","LK","","GEMABE050","INST NEW","","0"
"PVH018","Ceylon Hospitals LTD","C240295","1","1","Reserved","","B0935743","DAFILON BLUE 1 (4) 100CM HR40S       DDP","","","GSH1N","12","PCS","12","PCS","1694.34","7/30/2026","20332.08","LKR","PVTHOS","NBQ-BBSL","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PVH047","The Lanka Hospital Corporation Plc","C240297","1","1","Reserved","","C0264644","SILKAM BLACK 4/0 (1.5) 10X75CM       DDP","","","GSH1N","36","PCS","36","PCS","1147.78","7/30/2026","41320.08","LKR","PVTHOS","NBQ-BBSL","","","","LK","","GEMABE050","INST NEW","","0"
"GVI017","State Pharmaceuticals Corporation","C240238","4","1","Reserved","","PUN109","Nicardia Retard 10mg 100's","","","GSH1N","20","PACKS","20","PACKS","1217.9","7/30/2026","24358","LKR","GOVINS","ARR U (B)","","","GVT INS","LK","","GEMABE050","SPC1","","0"
"GVI017","State Pharmaceuticals Corporation","C240238","5","1","Reserved","","PUN174","Panum 40mg Tab's (100's)","","","GSH1N","10","PACKS","10","PACKS","3104.35","7/30/2026","31043.5","LKR","GOVINS","ARR U (B)","","","GVT INS","LK","","GEMABE050","SPC1","","0"
"GVI017","State Pharmaceuticals Corporation","C240239","1","1","Reserved","","PBL153","Caltamin D Tabs-60's","","","GSH1N","2","PACKS","2","PACKS","3094.66","7/30/2026","6189.32","LKR","GOVINS","BL SALE","","","GVT INS","LK","","GEMABE050","SPC1","","0"
"GVI017","State Pharmaceuticals Corporation","C240239","2","1","Reserved","","PUN216","Cilacar Tab's 10mg (30's)","","","GSH1N","50","PACKS","50","PACKS","1589.74","7/30/2026","79487","LKR","GOVINS","ARR U (A)","","","GVT INS","LK","","GEMABE050","SPC1","","0"
